Id,Name,ListHeaderId,Item,Uprice,Uom,MinQty,MaxQty,StartDateActive,CreatedAt,UpdatedAt
20621,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA90162/BXC,32.89,LBS,25,99999,08/30/2023 00:00:00,2025-02-22 08:45:16.1350587,NULL
20622,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA99149/BXC,32.89,LBS,25,99999,09/26/2023 00:00:00,2025-02-22 08:45:16.1350589,NULL
20630,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA89287/BXC,32.89,LBS,25,99999,08/29/2023 00:00:00,2025-02-22 08:45:16.1350600,NULL
20634,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA89283/BXC,32.89,LBS,25,99999,08/29/2023 00:00:00,2025-02-22 08:45:16.1350605,NULL
20638,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA80344/BXC,32.89,LBS,25,99999,08/29/2023 00:00:00,2025-02-22 08:45:16.1350610,NULL
20663,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA30305/BXC,33.99,LBS,25,99999,08/31/2023 00:00:00,2025-02-22 08:45:16.1350646,NULL
20668,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA59373/BXC,32.89,LBS,25,99999,09/15/2023 00:00:00,2025-02-22 08:45:16.1350652,NULL
20669,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA70368/BXC,32.89,LBS,25,99999,09/15/2023 00:00:00,2025-02-22 08:45:16.1350654,NULL
20670,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA80238/BXC,32.89,LBS,25,99999,09/15/2023 00:00:00,2025-02-22 08:45:16.1350655,NULL
20685,INC - ECOMMERCE WEB SALES - MTO,2407721,PCUA70123/BXC,32.89,LBS,25,99999,08/08/2023 00:00:00,2025-02-22 08:45:16.1350675,NULL
20724,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA99128/BXC,32.89,LBS,25,99999,09/28/2023 00:00:00,2025-02-22 08:45:26.2911199,NULL
20734,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29445/BXC,32.89,LBS,25,99999,09/27/2023 00:00:00,2025-02-22 08:45:26.2911216,NULL
20761,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA40341/BXC,32.89,LBS,25,99999,10/02/2023 00:00:00,2025-02-22 08:45:26.2911258,NULL
20770,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA49354/BXC,32.89,LBS,25,99999,10/02/2023 00:00:00,2025-02-22 08:45:26.2911273,NULL
20779,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA49519/BXC,32.89,LBS,25,99999,10/02/2023 00:00:00,2025-02-22 08:45:26.2911286,NULL
20784,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA49520/BXC,32.89,LBS,25,99999,10/02/2023 00:00:00,2025-02-22 08:45:26.2911294,NULL
20793,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA49538/BXC,32.89,LBS,25,99999,10/02/2023 00:00:00,2025-02-22 08:45:26.2911308,NULL
20798,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA49545/BXC,32.89,LBS,25,99999,10/02/2023 00:00:00,2025-02-22 08:45:26.2911316,NULL
20804,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA50355/BXC,32.89,LBS,25,99999,10/02/2023 00:00:00,2025-02-22 08:45:26.2911324,NULL
20809,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA50375/BXC,32.89,LBS,25,99999,10/02/2023 00:00:00,2025-02-22 08:45:26.2911331,NULL
20826,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA59533/BXC,32.89,LBS,25,99999,10/02/2023 00:00:00,2025-02-22 08:45:26.2911355,NULL
20831,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA59590/BXC,32.89,LBS,25,99999,10/02/2023 00:00:00,2025-02-22 08:45:26.2911361,NULL
20840,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA60318/BXC,33.99,LBS,25,99999,10/02/2023 00:00:00,2025-02-22 08:45:26.2911387,NULL
20911,INC - ECOMMERCE WEB SALES - MTO,2407721,PCFA90129/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911491,NULL
20912,INC - ECOMMERCE WEB SALES - MTO,2407721,PCMA90108/BXC,33.99,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911493,NULL
20913,INC - ECOMMERCE WEB SALES - MTO,2407721,PCSA20104/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911494,NULL
20914,INC - ECOMMERCE WEB SALES - MTO,2407721,PCSA40108/BXC,33.99,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911495,NULL
20915,INC - ECOMMERCE WEB SALES - MTO,2407721,PCSA40109/BXC,33.99,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911496,NULL
20916,INC - ECOMMERCE WEB SALES - MTO,2407721,PCSA50104/BXC,33.99,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911498,NULL
20917,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA19101/BXC,33.99,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911499,NULL
20918,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA19103/BXC,33.99,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911501,NULL
20919,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA19105/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911502,NULL
20920,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA19106/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911503,NULL
20921,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA19111/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911504,NULL
20922,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA20356/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911506,NULL
20923,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA20391/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911507,NULL
20924,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA20461/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911509,NULL
20925,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA23226/BXC,33.99,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911510,NULL
20926,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29173/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911512,NULL
20927,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29267/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911514,NULL
20928,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29288/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911515,NULL
20929,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29296/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911517,NULL
20930,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29310/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911518,NULL
20931,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29313/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911520,NULL
20932,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29318/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911521,NULL
20933,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29319/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911522,NULL
20934,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29323/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911524,NULL
20935,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29326/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911525,NULL
20936,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29328/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911527,NULL
20937,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29332/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911528,NULL
20938,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29333/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911529,NULL
20939,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29337/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911531,NULL
20940,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29346/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911533,NULL
20941,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29347/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911534,NULL
20942,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29350/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911536,NULL
20943,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29351/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911537,NULL
20944,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29352/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911539,NULL
20945,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29353/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911540,NULL
20946,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29355/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911542,NULL
20947,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29356/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911543,NULL
20948,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29358/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911544,NULL
20949,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA29367/BXC,32.89,LBS,25,99999,10/01/2023 00:00:00,2025-02-22 08:45:26.2911546,NULL
